family,run_name,tag,first_step,first_value,best_step,best_value,last_step,last_value
2A,2A_20260530_184854_More_layers_2+More_heads+Bigger_d,slot_f1/dev,0,0.0,0,0.0,59,0.9252856969833374
2A,2A_20260530_184854_More_layers_2+More_heads+Bigger_d,slot_f1/test,0,0.0,0,0.0,100,0.858282744884491
2A,2A_20260530_184957_More_layers+More_heads_2+Bigger_d,intent_acc/dev,0,0.736947774887085,0,0.736947774887085,64,0.9578313231468201
2A,2A_20260530_184957_More_layers+More_heads_2+Bigger_d,intent_acc/test,0,0.707726776599884,0,0.707726776599884,100,0.8947368264198303
2A,2A_20260530_184957_More_layers+More_heads_2+Bigger_d,loss/train,0,5.807026386260986,64,0.02400539629161358,64,0.02400539629161358
2A,2A_20260530_184957_More_layers+More_heads_2+Bigger_d,slot_f1/dev,0,0.0,0,0.0,64,0.9189347624778748
2A,2A_20260530_184957_More_layers+More_heads_2+Bigger_d,slot_f1/test,0,0.0,0,0.0,100,0.8510118722915649
2A,2A_20260530_185054_More_layers_2+More_heads_2+Bigger_d_2,intent_acc/dev,0,0.736947774887085,0,0.736947774887085,34,0.9718875288963318
2A,2A_20260530_185054_More_layers_2+More_heads_2+Bigger_d_2,intent_acc/test,0,0.707726776599884,0,0.707726776599884,100,0.9204927086830139
2A,2A_20260530_185054_More_layers_2+More_heads_2+Bigger_d_2,loss/train,0,4.520768642425537,34,0.010462624952197075,34,0.010462624952197075
2A,2A_20260530_185054_More_layers_2+More_heads_2+Bigger_d_2,slot_f1/dev,0,0.0,0,0.0,34,0.9327854514122009
2A,2A_20260530_185054_More_layers_2+More_heads_2+Bigger_d_2,slot_f1/test,0,0.0,0,0.0,100,0.8770448565483093
